City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
59,Mataura,NZ,2021-05-31 16:11:10,-46.1927,168.8643,49.48,96,99,1.86,overcast clouds
60,Kodiak,US,2021-05-31 16:14:29,57.79,-152.4072,45.91,87,90,14.97,light rain
61,Uglovskoye,RU,2021-05-31 16:14:29,51.3557,80.1942,66.31,57,18,8.28,few clouds
62,Mogadishu,SO,2021-05-31 16:11:34,2.0371,45.3438,78.91,84,100,13.2,overcast clouds
63,Anadyr,RU,2021-05-31 16:14:30,64.75,177.4833,39.7,69,0,3.22,clear sky
64,Plouzane,FR,2021-05-31 16:11:38,48.3833,-4.6167,75.29,47,0,5.37,clear sky
65,Beringovskiy,RU,2021-05-31 16:12:11,63.05,179.3167,30.96,89,94,7.99,overcast clouds
66,Ushuaia,AR,2021-05-31 16:11:16,-54.8,-68.3,31.66,86,75,5.75,broken clouds
67,Kayasula,RU,2021-05-31 16:14:31,44.325,45.0,75.9,55,2,1.83,clear sky
68,Qasigiannguit,GL,2021-05-31 16:14:31,68.8193,-51.1922,35.85,89,100,4.41,overcast clouds
69,Norman Wells,CA,2021-05-31 16:11:56,65.282,-126.8329,50.47,77,100,2.53,overcast clouds
70,Palmer,US,2021-05-31 16:12:08,42.1584,-72.3287,57.36,85,90,4.65,overcast clouds
71,Butaritari,KI,2021-05-31 16:11:16,3.0707,172.7902,82.72,76,31,15.93,scattered clouds
72,Den Helder,NL,2021-05-31 16:13:34,52.9599,4.7593,72.99,82,1,12.66,mist
73,Cherskiy,RU,2021-05-31 16:11:38,68.75,161.3,52.29,39,13,8.21,few clouds
74,Nanning,CN,2021-05-31 16:14:32,22.8167,108.3167,79.25,92,100,6.67,light rain
75,Aklavik,CA,2021-05-31 16:11:17,68.2191,-135.0107,33.8,86,90,12.66,overcast clouds
76,Upernavik,GL,2021-05-31 16:14:33,72.7868,-56.1549,31.39,89,100,3.74,overcast clouds
77,Bani,DO,2021-05-31 16:13:20,18.2833,-70.3333,87.24,51,70,13.67,broken clouds
78,Dhidhdhoo,MV,2021-05-31 16:12:56,6.8833,73.1,83.32,75,100,19.77,overcast clouds
79,Sitka,US,2021-05-31 16:11:16,57.0531,-135.33,57.09,67,90,18.41,light rain
80,Hermanus,ZA,2021-05-31 16:10:59,-34.4187,19.2345,57.9,77,58,8.59,light rain
81,Severo-Kurilsk,RU,2021-05-31 16:14:34,50.6789,156.125,36.99,98,100,27.74,light rain
82,Valdosta,US,2021-05-31 16:10:13,30.8327,-83.2785,82.31,51,1,6.91,clear sky
83,Sao Felix Do Xingu,BR,2021-05-31 16:11:49,-6.6447,-51.995,92.08,32,25,4.05,scattered clouds
84,Gornopravdinsk,RU,2021-05-31 16:14:34,60.05,69.9,41.16,89,100,9.44,overcast clouds
85,Cabedelo,BR,2021-05-31 16:14:35,-6.9811,-34.8339,83.07,79,41,13.51,scattered clouds
