City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Kodinar,IN,2021-05-31 02:19:42,20.7903,70.7031,83.19,72,22,10.87
68,Tiksi,RU,2021-05-31 02:19:42,71.6872,128.8694,36.55,83,100,7.38
69,Kenai,US,2021-05-31 02:19:42,60.5544,-151.2583,62.02,55,90,13.8
70,Vrangel,RU,2021-05-31 02:19:43,42.7297,133.0839,52.29,80,93,13.31
71,Along,IN,2021-05-31 02:19:43,28.1667,94.7667,79.79,75,26,0.51
72,Beringovskiy,RU,2021-05-31 02:19:44,63.05,179.3167,39.33,70,37,13.56
73,Vuktyl,RU,2021-05-31 02:19:44,63.8567,57.3094,38.8,67,21,8.59
74,Hovd,MN,2021-05-31 02:19:44,48.0056,91.6419,52.77,27,4,4.99
75,Grand-Santi,GF,2021-05-31 02:19:45,4.25,-54.3833,73.87,99,100,2.13
76,Hobart,AU,2021-05-31 02:17:59,-42.8794,147.3294,52.27,69,0,4.03
77,Banda Aceh,ID,2021-05-31 02:19:45,5.5577,95.3222,83.12,70,87,11.5
78,Caraballeda,VE,2021-05-31 02:19:45,10.6112,-66.8522,78.87,100,31,7.92
79,Ilhabela,BR,2021-05-31 02:19:46,-23.7781,-45.3581,70.57,95,100,3.09
80,Leningradskiy,RU,2021-05-31 02:19:46,69.3833,178.4167,40.41,78,24,4.68
81,Muttupet,IN,2021-05-31 02:19:46,10.4,79.4833,85.5,60,40,12.03
82,Ugoofaaru,MV,2021-05-31 02:19:47,5.6667,73.0,83.32,70,74,19.04
83,College,US,2021-05-31 02:19:47,64.8569,-147.8028,70.47,36,75,0.0
84,Chandbali,IN,2021-05-31 02:19:47,20.7833,86.7667,87.91,76,43,15.3
85,Oyem,GA,2021-05-31 02:19:48,1.5995,11.5793,68.13,99,87,2.17
86,Harper,LR,2021-05-31 02:19:48,4.375,-7.7169,77.4,90,99,7.07
87,Normandin,CA,2021-05-31 02:19:48,48.8333,-72.5321,59.31,62,100,3.44
88,Ancud,CL,2021-05-31 02:19:49,-41.8697,-73.8203,56.23,97,100,13.85
89,Merauke,ID,2021-05-31 02:19:49,-8.4667,140.3333,83.08,66,70,10.71
90,Avarua,CK,2021-05-31 02:19:49,-21.2078,-159.775,78.85,57,40,4.61
91,Lompoc,US,2021-05-31 02:19:50,34.6391,-120.4579,71.13,82,1,10.36
92,Ahipara,NZ,2021-05-31 02:19:50,-35.1667,173.1667,60.01,82,44,15.32
93,Bethel,US,2021-05-31 02:15:58,41.3712,-73.414,49.19,92,100,1.01
94,Port Lincoln,AU,2021-05-31 02:19:51,-34.7333,135.8667,59.5,36,100,16.28
95,Itarema,BR,2021-05-31 02:19:51,-2.9248,-39.9167,76.26,85,20,10.92
96,Bengkulu,ID,2021-05-31 02:19:51,-3.8004,102.2655,79.93,76,45,3.87
97,Marsa Matruh,EG,2021-05-31 02:19:52,31.3525,27.2453,70.38,87,0,11.59
98,Atuona,PF,2021-05-31 02:15:15,-9.8,-139.0333,79.47,67,3,9.01
