City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
354,Lorengau,PG,80.42,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
358,Azuqueca De Henares,ES,89.55,few clouds,40.5669,-3.2599,Miralcampo
359,Chunhuhub,MX,91.02,clear sky,19.55,-88.6833,
361,Waddan,LY,95.68,clear sky,29.1614,16.139,محل الشريف محمد العايب
366,Rio Verde De Mato Grosso,BR,86.0,overcast clouds,-18.9181,-54.8442,Hotel Valência
372,Ojinaga,MX,83.35,clear sky,29.5667,-104.4167,Suites Las Palmas
374,Erzin,TR,82.92,clear sky,36.9559,36.2,Artemis Otel
380,Qandala,SO,88.88,broken clouds,11.472000000000001,49.8728,
382,Fasa,IR,90.64,clear sky,28.9383,53.6482,Fasa University Boys' Dormitory
386,Sumbe,AO,80.44,clear sky,-11.2061,13.8437,Hotel Ritz Sumbe
391,Murgab,TM,94.87,clear sky,37.4966,61.9714,
399,Wadi Maliz,TN,91.06,overcast clouds,36.4681,8.5495,HOPITAL
400,Turayf,SA,95.25,clear sky,31.6725,38.6637,Swiss Spirit Hotel & Suites Turaif
401,Upata,VE,81.19,broken clouds,8.0086,-62.3989,Posada Villa Nela
412,Libreville,GA,84.22,light rain,0.3925,9.4537,Hotel Re-Ndama
422,Minbu,MM,85.59,broken clouds,20.1833,94.8833,Pan Tha Tin Guest House - Burmese Only
428,Abu Samrah,SY,86.05,clear sky,35.3029,37.1841,
429,Katghora,IN,92.88,overcast clouds,22.5,82.55,Deppak bhojanalay new bus stand
430,Bumbuna,SL,82.09,overcast clouds,9.05,-11.7333,Joel Inn
431,Guanambi,BR,89.56,scattered clouds,-14.2233,-42.7814,Leopoldo Hotel
442,Luba,GQ,81.28,light rain,3.4568,8.5547,
446,Dicabisagan,PH,80.92,overcast clouds,17.0818,122.4157,Nancy Montanes Bernardo
448,Umm Lajj,SA,88.83,clear sky,25.0213,37.2685,Moon light Furnished Units
449,Odweyne,SO,84.61,overcast clouds,9.4092,45.06399999999999,Eng Hiirey House
453,Tefe,BR,87.91,scattered clouds,-3.3542,-64.7114,Aracati Hotel
455,Puerto El Triunfo,SV,92.32,few clouds,13.2833,-88.55,Hotel Jardin
468,Acajutla,SV,89.8,broken clouds,13.5928,-89.8275,asi es
471,Cabo San Lucas,MX,89.82,clear sky,22.8909,-109.9124,Tesoro Los Cabos
476,Oranzherei,RU,80.56,broken clouds,45.8476,47.5663,Usad'ba V Khmelevom
478,Balkanabat,TM,87.6,clear sky,39.5108,54.3671,Nebitchi Hotel
481,Galle,LK,81.28,broken clouds,6.0367,80.217,Amangalla
482,Sabang,ID,82.98,overcast clouds,5.8933,95.3214,Hotel Citra
